primary_type,arrest,counts
ARSON,False,417
ARSON,True,275
ASSAULT,False,88890
ASSAULT,True,19855
BATTERY,False,463714
BATTERY,True,131335
BURGLARY,False,2781
BURGLARY,True,551
CRIM SEXUAL ASSAULT,False,2930
CRIM SEXUAL ASSAULT,True,987
CRIMINAL DAMAGE,False,61830
CRIMINAL DAMAGE,True,9208
CRIMINAL SEXUAL ASSAULT,False,795
CRIMINAL SEXUAL ASSAULT,True,127
CRIMINAL TRESPASS,False,4583
CRIMINAL TRESPASS,True,2703
DECEPTIVE PRACTICE,False,3509
DECEPTIVE PRACTICE,True,171
DOMESTIC VIOLENCE,True,1
GAMBLING,True,4
HOMICIDE,False,45
HOMICIDE,True,735
HUMAN TRAFFICKING,False,9
INTERFERENCE WITH PUBLIC OFFICER,False,18
INTERFERENCE WITH PUBLIC OFFICER,True,81
INTIMIDATION,False,475
INTIMIDATION,True,74
KIDNAPPING,False,1726
KIDNAPPING,True,218
LIQUOR LAW VIOLATION,True,9
MOTOR VEHICLE THEFT,False,1621
MOTOR VEHICLE THEFT,True,251
NARCOTICS,False,8
NARCOTICS,True,277
OBSCENITY,False,32
OBSCENITY,True,87
OFFENSE INVOLVING CHILDREN,False,22605
OFFENSE INVOLVING CHILDREN,True,5939
PROSTITUTION,True,9
PUBLIC INDECENCY,True,1
PUBLIC PEACE VIOLATION,False,1854
PUBLIC PEACE VIOLATION,True,479
RITUALISM,False,5
RITUALISM,True,1
ROBBERY,False,4133
ROBBERY,True,579
SEX OFFENSE,False,2442
SEX OFFENSE,True,514
STALKING,False,1535
STALKING,True,259
THEFT,False,38671
THEFT,True,2547
WEAPONS VIOLATION,False,73
WEAPONS VIOLATION,True,256
