location_description,primary_type,counts
ABANDONED BUILDING,NARCOTICS,2985
AIRCRAFT,THEFT,357
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,THEFT,478
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,THEFT,457
AIRPORT EXTERIOR - NON-SECURE AREA,THEFT,224
AIRPORT EXTERIOR - SECURE AREA,THEFT,168
AIRPORT PARKING LOT,THEFT,321
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,CRIMINAL TRESPASS,865
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,THEFT,546
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,THEFT,49
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,THEFT,373
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,THEFT,1131
AIRPORT TRANSPORTATION SYSTEM (ATS),THEFT,71
AIRPORT VENDING ESTABLISHMENT,DECEPTIVE PRACTICE,521
AIRPORT/AIRCRAFT,THEFT,5415
ALLEY,NARCOTICS,46895
ANIMAL HOSPITAL,THEFT,168
APARTMENT,BATTERY,281852
APPLIANCE STORE,THEFT,900
ATHLETIC CLUB,THEFT,7237
ATM (AUTOMATIC TELLER MACHINE),DECEPTIVE PRACTICE,7046
AUTO,HOMICIDE,1328
AUTO / BOAT / RV DEALERSHIP,THEFT,247
BANK,DECEPTIVE PRACTICE,19418
BANQUET HALL,HOMICIDE,1
BAR OR TAVERN,THEFT,16160
BARBER SHOP/BEAUTY SALON,HOMICIDE,23
BARBERSHOP,BURGLARY,1657
BASEMENT,HOMICIDE,31
BOAT / WATERCRAFT,BATTERY,13
BOAT/WATERCRAFT,THEFT,299
BOWLING ALLEY,THEFT,325
BRIDGE,CRIMINAL DAMAGE,99
CAR WASH,THEFT,869
CEMETARY,THEFT,143
CHA APARTMENT,BATTERY,13946
CHA BREEZEWAY,HOMICIDE,3
CHA ELEVATOR,HOMICIDE,3
CHA GROUNDS,HOMICIDE,44
CHA HALLWAY,HOMICIDE,36
CHA HALLWAY / STAIRWELL / ELEVATOR,ASSAULT,78
CHA HALLWAY/STAIRWELL/ELEVATOR,CRIMINAL TRESPASS,10633
CHA LOBBY,HOMICIDE,6
CHA PARKING LOT,HOMICIDE,51
CHA PARKING LOT / GROUNDS,BATTERY,198
CHA PARKING LOT/GROUNDS,NARCOTICS,21044
CHA PLAY LOT,HOMICIDE,4
CHA STAIRWELL,HOMICIDE,8
CHURCH,HOMICIDE,6
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,CRIMINAL DAMAGE,198
CHURCH PROPERTY,HOMICIDE,2
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,THEFT,4953
CLEANERS/LAUNDROMAT,HOMICIDE,1
CLEANING STORE,THEFT,1342
CLUB,HOMICIDE,18
COACH HOUSE,HOMICIDE,3
COIN OPERATED MACHINE,THEFT,484
COLLEGE / UNIVERSITY - GROUNDS,DECEPTIVE PRACTICE,24
COLLEGE / UNIVERSITY - RESIDENCE HALL,BATTERY,7
COLLEGE/UNIVERSITY GROUNDS,THEFT,2763
COLLEGE/UNIVERSITY RESIDENCE HALL,THEFT,469
COMMERCIAL / BUSINESS OFFICE,THEFT,18518
CONSTRUCTION SITE,THEFT,6691
CONVENIENCE STORE,THEFT,8737
COUNTY JAIL,HOMICIDE,2
CREDIT UNION,DECEPTIVE PRACTICE,338
"CTA ""L"" PLATFORM",HOMICIDE,8
"CTA ""L"" TRAIN",HOMICIDE,4
CTA BUS,THEFT,7947
CTA BUS STOP,ROBBERY,2006
CTA GARAGE / OTHER PROPERTY,THEFT,2714
CTA PARKING LOT / GARAGE / OTHER PROPERTY,CRIMINAL DAMAGE,102
CTA PLATFORM,DECEPTIVE PRACTICE,12585
CTA PROPERTY,HOMICIDE,5
CTA STATION,THEFT,1462
CTA SUBWAY STATION,HOMICIDE,1
CTA TRACKS - RIGHT OF WAY,CRIMINAL TRESPASS,97
CTA TRAIN,THEFT,14956
CURRENCY EXCHANGE,DECEPTIVE PRACTICE,7663
DAY CARE CENTER,CRIMINAL DAMAGE,547
DELIVERY TRUCK,THEFT,726
DEPARTMENT STORE,THEFT,76857
DRIVEWAY,HOMICIDE,18
DRIVEWAY - RESIDENTIAL,CRIMINAL DAMAGE,6800
DRUG STORE,THEFT,24217
DUMPSTER,HOMICIDE,7
ELEVATOR,HOMICIDE,2
EXPRESSWAY EMBANKMENT,HOMICIDE,1
FACTORY,HOMICIDE,2
FACTORY / MANUFACTURING BUILDING,THEFT,52
FACTORY/MANUFACTURING BUILDING,THEFT,1710
FARM,CRIMINAL DAMAGE,4
FEDERAL BUILDING,ASSAULT,174
FIRE STATION,THEFT,591
FOREST PRESERVE,THEFT,91
FUNERAL PARLOR,HOMICIDE,1
GANGWAY,HOMICIDE,72
GARAGE,HOMICIDE,62
GARAGE/AUTO REPAIR,HOMICIDE,11
GAS STATION,THEFT,19375
GAS STATION DRIVE/PROP.,HOMICIDE,59
GOVERNMENT BUILDING,HOMICIDE,2
GOVERNMENT BUILDING / PROPERTY,NARCOTICS,183
GOVERNMENT BUILDING/PROPERTY,THEFT,2929
GROCERY FOOD STORE,THEFT,61076
HALLWAY,HOMICIDE,93
HIGHWAY / EXPRESSWAY,BATTERY,31
HIGHWAY/EXPRESSWAY,BATTERY,213
HORSE STABLE,BATTERY,1
HOSPITAL,HOMICIDE,13
HOSPITAL BUILDING / GROUNDS,BATTERY,642
HOSPITAL BUILDING/GROUNDS,THEFT,7304
HOTEL,HOMICIDE,23
HOTEL / MOTEL,BATTERY,579
HOTEL/MOTEL,THEFT,11026
HOUSE,HOMICIDE,599
JAIL / LOCK-UP FACILITY,BATTERY,382
JUNK YARD/GARBAGE DUMP,HOMICIDE,1
KENNEL,CRIMINAL DAMAGE,6
LAGOON,HOMICIDE,1
LAKE,HOMICIDE,4
LAKEFRONT / WATERFRONT / RIVERBANK,THEFT,34
LAKEFRONT/WATERFRONT/RIVERBANK,THEFT,571
LAUNDRY ROOM,HOMICIDE,2
LIBRARY,THEFT,2259
LIQUOR STORE,HOMICIDE,10
LIVERY AUTO,HOMICIDE,1
LIVERY STAND OFFICE,HOMICIDE,2
LOADING DOCK,HOMICIDE,1
MEDICAL / DENTAL OFFICE,THEFT,104
MEDICAL/DENTAL OFFICE,THEFT,2364
MOTEL,HOMICIDE,7
MOVIE HOUSE / THEATER,BATTERY,13
MOVIE HOUSE/THEATER,THEFT,1162
NEWSSTAND,THEFT,77
NURSING / RETIREMENT HOME,BATTERY,559
NURSING HOME,HOMICIDE,6
NURSING HOME/RETIREMENT HOME,BATTERY,7023
OFFICE,HOMICIDE,16
OTHER,THEFT,84916
